#time0row7[msb-lsb],time0row6[msb-lst],....,time0row0[msb-lst]#
#time1row7[msb-lsb],time1row6[msb-lst],....,time1row0[msb-lst]#
#................#
FFD0 FFA8 0038 002B 0018 FFF2 FF54 007D 
0002 FF9A 00C5 FFFC 002A FFF4 FF6E 0049 
FFE4 FFA5 0073 FFF1 0038 FFFE FFA9 FFF9 
0026 FFD0 006B 0009 001D 0009 FFD1 0020 
002C FF44 0094 003F FFBC FFC3 FEAE 00EF 
006E FF09 01A2 0028 FF9B FFDC FEC3 00B5 
FFCB FF0F 014A FFBF FF4F 001B FF0E 0031 
FFED FF77 0076 FFC7 FF73 FFA5 FF79 0091 
008E FECB 001B 0031 FFD0 FF7E FEBA 00BE 
006A FE38 00A4 0036 FFCF 001D FED9 007F 
FFC4 FE24 00A5 FFB3 FF74 00BA FFA5 FFFB 
001C FED8 0044 FFB3 FF76 0001 0013 0045 
0131 FF0A FF5B FFB8 FF88 FF82 FFA0 000A 
0197 FE81 FEE9 FFD7 FEE9 0051 FFF2 FFAA 
016C FE6C FF1C 0000 FEAC 00CD 00D3 FF6A 
0124 FEFD 0009 00D7 FF54 0071 012A 0002 
