#time0row7[msb-lsb],time0row6[msb-lst],....,time0row0[msb-lst]#
#time1row7[msb-lsb],time1row6[msb-lst],....,time1row0[msb-lst]#
#................#
0045 FF67 00DB 0021 FFA8 FFC3 FEA9 0102 
004D FF54 01B8 0001 FF69 FFFC FF2D 0077 
FFC5 FF6F 00F5 FFDC FF87 FFFC FF61 0006 
0001 FFBE 0085 FFCC FFC1 FFAF FF88 0073 
0088 FE9F 012D 0078 FFDA FF7C FE1F 0145 
FFDE FE5E 01C0 FFDE FF10 005E FE8E 008D 
FF3D FE98 0106 FF50 FEA9 0020 FF44 0038 
FFBB FF51 0060 FF4C FF0D FF9C FF80 0080 
019B FE59 FFC9 006C 004F FF54 FF29 00AC 
00EF FDC2 FFC4 0004 FF87 0107 FFD6 FFDA 
0081 FE04 FFE0 FFAD FF15 014E 00B1 FFE3 
0033 FEEF 003A FFF0 FF3A 0034 0095 0006 
0178 FEA9 FF0E FFDD FFB7 FFB0 FFDC FFDC 
014F FE2D FEB4 FFBA FED6 00C1 0044 FF53 
0114 FE68 FF67 0086 FEE8 0099 0128 0040 
0060 FF26 0005 00C4 FF76 FFF8 00EA 001D 
